"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the system updates prices when changing currencies","8524","test_change_currency_dollar[chromium]","tests","Sat Aug 23 17:11:24 UTC 2025","passed","Sat Aug 23 17:11:32 UTC 2025","TestChangeCurrency","test_change_currency","",""
"Verify that a user can log in with valid credentials","19201","Successful login test","tests","Sat Aug 23 17:13:05 UTC 2025","passed","Sat Aug 23 17:13:24 UTC 2025","TestLogin","test_login","",""
"","0","test_remove_wish[chromium]","tests","Sat Aug 23 17:16:03 UTC 2025","passed","Sat Aug 23 17:16:03 UTC 2025","TestRemoveWishList","test_remove_wish_list","",""
"","19432","test_login[chromium]","tests","Sat Aug 23 17:15:00 UTC 2025","passed","Sat Aug 23 17:15:19 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","7321","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:10:31 UTC 2025","passed","Sat Aug 23 17:10:38 UTC 2025","TestCalc","test_calc","",""
"","7334","test_search_cellphone[chromium-cellphone]","tests","Sat Aug 23 17:17:07 UTC 2025","passed","Sat Aug 23 17:17:15 UTC 2025","TestSearch","test_serach","",""
"","8362","test_add_cart[chromium]","tests","Sat Aug 23 17:10:38 UTC 2025","passed","Sat Aug 23 17:10:46 UTC 2025","TestCalc","test_calc","",""
"","3173","test_wrong[chromium-Balloons]","tests","Sat Aug 23 17:14:52 UTC 2025","broken","Sat Aug 23 17:14:55 UTC 2025","TestNav","test_nav","",""
"","19029","test_user_login[chromium]","tests","Sat Aug 23 17:13:52 UTC 2025","passed","Sat Aug 23 17:14:11 UTC 2025","TestLogout","test_logout","",""
"Verify that login fails with an incorrect password","18997","Invalid password test","tests","Sat Aug 23 17:13:28 UTC 2025","passed","Sat Aug 23 17:13:47 UTC 2025","TestLogin","test_login","",""
"","8541","test_user_logout[chromium]","tests","Sat Aug 23 17:14:11 UTC 2025","passed","Sat Aug 23 17:14:20 UTC 2025","TestLogout","test_logout","",""
"","9386","test_tablet[chromium-Tablets]","tests","Sat Aug 23 17:14:33 UTC 2025","passed","Sat Aug 23 17:14:43 UTC 2025","TestNav","test_nav","",""
"Verify that the system updates prices when changing currencies","8603","test_change_currency_gpb[chromium]","tests","Sat Aug 23 17:11:15 UTC 2025","passed","Sat Aug 23 17:11:24 UTC 2025","TestChangeCurrency","test_change_currency","",""
"","21435","test_review[chromium-Shani-This camera changed my life! I can't believe how my life have been without it, thank you for the store and great service]","tests","Sat Aug 23 17:16:15 UTC 2025","passed","Sat Aug 23 17:16:36 UTC 2025","TestReview","test_review","",""
"","11064","test_wrong_coupon[chromium-SHANI]","tests","Sat Aug 23 17:12:01 UTC 2025","passed","Sat Aug 23 17:12:12 UTC 2025","TestSearchItem","test_coupon","",""
"","4029","test_remove_cart[chromium]","tests","Sat Aug 23 17:15:35 UTC 2025","passed","Sat Aug 23 17:15:39 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","7310","test_search_touch[chromium-touch]","tests","Sat Aug 23 17:17:29 UTC 2025","passed","Sat Aug 23 17:17:37 UTC 2025","TestSearch","test_serach","",""
"","9130","test_desk[chromium-Desktops]","tests","Sat Aug 23 17:14:24 UTC 2025","passed","Sat Aug 23 17:14:33 UTC 2025","TestNav","test_nav","",""
"","8318","test_add_cart[chromium]","tests","Sat Aug 23 17:11:52 UTC 2025","passed","Sat Aug 23 17:12:01 UTC 2025","TestSearchItem","test_coupon","",""
"","7310","test_search_samsung[chromium-samsung]","tests","Sat Aug 23 17:16:48 UTC 2025","passed","Sat Aug 23 17:16:55 UTC 2025","TestSearchItem","test_search_by_item","",""
"","19214","test_login[chromium]","tests","Sat Aug 23 17:10:11 UTC 2025","passed","Sat Aug 23 17:10:31 UTC 2025","TestCalc","test_calc","",""
"","7332","test_search_apple[chromium-apple]","tests","Sat Aug 23 17:16:41 UTC 2025","passed","Sat Aug 23 17:16:48 UTC 2025","TestSearchItem","test_search_by_item","",""
"","19386","test_user_login[chromium]","tests","Sat Aug 23 17:09:11 UTC 2025","passed","Sat Aug 23 17:09:30 UTC 2025","TestAdress","test_address_new","",""
"","7309","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:16:55 UTC 2025","passed","Sat Aug 23 17:17:03 UTC 2025","TestSearchItem","test_search_by_item","",""
"","7328","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:11:45 UTC 2025","passed","Sat Aug 23 17:11:52 UTC 2025","TestSearchItem","test_coupon","",""
"","8330","test_add_cart[chromium]","tests","Sat Aug 23 17:15:27 UTC 2025","passed","Sat Aug 23 17:15:35 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","24137","test_calc[chromium]","tests","Sat Aug 23 17:10:46 UTC 2025","passed","Sat Aug 23 17:11:10 UTC 2025","TestCalc","test_calc","",""
"","17836","test_fill_form[chromium-Shani-My review on this computer is that I'm not sure if it's the best product]","tests","Sat Aug 23 17:12:42 UTC 2025","passed","Sat Aug 23 17:13:00 UTC 2025","TestForm","test_form","",""
"","19204","test_login[chromium]","tests","Sat Aug 23 17:15:44 UTC 2025","passed","Sat Aug 23 17:16:03 UTC 2025","TestRemoveWishList","test_remove_wish_list","",""
"","9431","test_cam[chromium-Cameras]","tests","Sat Aug 23 17:14:43 UTC 2025","passed","Sat Aug 23 17:14:52 UTC 2025","TestNav","test_nav","",""
"","7307","test_search_new[chromium-new]","tests","Sat Aug 23 17:17:22 UTC 2025","passed","Sat Aug 23 17:17:29 UTC 2025","TestSearch","test_serach","",""
"","7366","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:16:07 UTC 2025","passed","Sat Aug 23 17:16:15 UTC 2025","TestReview","test_review","",""
"Verify that the password recovery process works","21157","Forgot password test","tests","Sat Aug 23 17:12:16 UTC 2025","passed","Sat Aug 23 17:12:38 UTC 2025","TestForgotPassword","test_forgot_password","",""
"","7311","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:15:19 UTC 2025","passed","Sat Aug 23 17:15:27 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","7303","test_search_computer[chromium-computer]","tests","Sat Aug 23 17:17:15 UTC 2025","passed","Sat Aug 23 17:17:22 UTC 2025","TestSearch","test_serach","",""
"Verify that the system updates prices when changing currencies","8519","test_change_currency_euro[chromium]","tests","Sat Aug 23 17:11:32 UTC 2025","passed","Sat Aug 23 17:11:41 UTC 2025","TestChangeCurrency","test_change_currency","",""
"","36153","test_fill_address[chromium-Michal-Lego-Zion Bar 2-Petah-tiqwa]","tests","Sat Aug 23 17:09:30 UTC 2025","passed","Sat Aug 23 17:10:06 UTC 2025","TestAdress","test_address_new","",""
